DEBUG: CURRENT=10:42, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:43, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:43, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:44, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:44, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:45, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:45, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:46, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:46, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:47, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:47, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:48, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:48, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:52, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:52, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:53, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:53, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:54, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:54, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:55, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:55, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:56, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:56, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:57, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:57, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:58, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:58, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:59, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=10:59, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:00, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:00, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:01, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:01, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:02, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:02, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:03, START_TIME=9:00, STOP_TIME=17:00
